mol_id,smiles,homo-fopt,lumo-fopt,gap-fopt,e_tot-fopt
a-42,COCCOCC[AlH-](c1ccccc1C(=O)O)c1ccccc1C(=O)O,-2.1971061,0.29287967,2.48998577,-38962.0408527
a-43,S[AsH3-](S(=O)(=O)C(C(F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,-2.14759202,0.45536761000000003,2.60295963,-125631.97837293
a-44,NC[SbH3-](COC(F)(F)F)CCCCN,-0.47836071,1.97110842,2.4494691299999998,-199605.22342672
a-45,FC(CC[Si](c1ccc(cc1)[NbH3-](S(=O)(=O)F)c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)(C)C)(F)F,-2.43237801,-0.16065009,2.27172792,-210407.47170968
a-46,O[AlH-](S(=O)(=O)F)CCCS,-2.49443677,2.03449497,4.52893174,-40496.29573215
a-47,NC[NbH3-](C(CC)C)CCC(=O)N,-1.2603864599999999,1.8823033599999999,3.14268982,-118576.71791795
a-48,FS(=O)(=O)[C-](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-1.95440699,0.61681107,2.57121806,-95218.88444108
a-49,NCCCC[AsH3-](CCOCCOC)CCOCCOC,-0.39781165,2.15061283,2.54842448,-86656.41854804
a-50,Cc1ccc(cc1)[C-](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)S(=O)(=O)C(F)(F)F,-1.69481456,1.64563977,3.34045433,-61204.41179255
a-51,CCCCCCCC[Si](c1ccc(cc1)[C-](c1ccc(cc1)[Si](CCC(F)(F)F)(C)C)N)(C)C,0.04761642,1.26226944,1.21465302,-55183.97420399
a-52,N[N-]CCCS,2.23625216,2.93669437,0.7004422100000001,-17114.23045098
a-53,N[PH3-](S(=O)(=O)C)F,-0.60748696,2.86514445,3.47263141,-29674.71969392
a-54,CCC([InH-](S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)S(=O)(=O)C(F)(F)F)C,-2.70290767,1.16263155,3.86553922,-227732.54822924
a-55,COCCOCC[PH3-](c1ccccc1C(=O)O)C(CC)C,-1.18851847,1.20598357,2.39450204,-34556.80574835
a-56,FS(=O)(=O)[BH-](S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)S(=O)(=O)F,-3.84323212,1.16135718,5.0045893,-73208.85588028
a-57,SCCC[N-]CCC(=O)O,1.2323767700000001,2.23753113,1.00515436,-22881.71091168
a-58,F[AlH-](c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)F,-1.96026152,0.13808609,2.09834761,-72147.34221615
